"",ADDRESS,Days Open/ Hours Cont.,SECONDARY SERVICE,ZIP CODE,CITY,Languages Offered,WEBSITE,PRIMARY SERVICE,Basic Information,PHONE,TRANSPORTATION,HOURS,lgn,SITE NAME,QUADRANT,STATE,lat,Restrictions? Criteria to Access
,"8630 Fenton Street
Suite 224",Day and Evening hours available,,20910,Silver Spring,,,,,(301) 495-0856 ,,Mon-Sat,-77.028478,"Afro-American Counseling & Psychotherapy Institute, Inc.     The Montgomery Center",,MD,38.997927,African-American
,"
1629 K Street, Suite 300


",Day and Evening hours available,Crime Victim's  Assistance Hotline,20006,Washington,,http://www.afroamericancounseling.com,Counseling Services,,(202) 723-0030,"Metro: Farragut North (Red Line), Farragut West (Blue/Orange Line)",Mon-Sat,-77.037897,"Afro-American Counseling and Psychotherapy Institute, Inc. Corporate Office-Headquarters",NW,DC,38.902883,African-American
,4530 Connecticut Ave,,,20008,Washington,,http://www.aa-dc.org,Counseling Services,,(202) 966-9115,Metro: Cleveland Park (Red Line),"Mon-Fri, 8:30am-10pm, and Sat-Sun 10am-10pm",-77.066953,Alcoholics Anonymous,NW,DC,38.949041,
,"Mailing Address: P.O. Box 33532 
Event locations vary. ",,"Specific community, ethic, or racial group, LGBT, Muslims",20033,Washington,,www.al-fatiha.org,LGBT Services,,not provided,Event locations vary.,Contact gaymuslims@yahoo.com for event details. ,-77.04,Al-Fatiha Foundation,NW,DC,38.9,Provides services to LGBT Muslims.
,2000 14th Street,,Food Pantry/Grocery,20009,Washington,,http://www.all-faith.org,Shelters/ Transitional Housing,,(202) 671-1600,Metro: U Street (Green/Yellow Line) Bus: 905,,-77.032336,All Faith Consortium,NW,DC,38.917214,
,1500 Harvard Street ,,,20009,Washington,"English, Sign-Language",www.all-souls.org,LGBT Services,"Welcome to All Souls Church, Unitarian, In Washington, DC. We are a welcoming congregation reaching out to people of all races, classes, ethnic origins, gender orientations, sexual orientations and faith journeys.
",(202) 332-5266,"All Souls is located at 1500 Harvard St., NW. The main entrance to the sanctuary is at the corner of 16th and Harvard Streets, where the neighborhoods of Columbia Heights, Adams-Morgan, and Mount Pleasant come together.

ARRIVING BY METRORAIL:

The closest Metro stop is the Columbia Heights station on the Green Line. Exit the turnstyles, then take the elevator or the escalators to the left. When you reach the top, walk south two blocks on 14th Street and take a right on Harvard Street. All Souls is one block down on your left. The church is the large red brick building with the clock tower at 15th and Harvard. To plan your trip, use the RideGuide. Click here for a Metro system map.

ARRIVING BY CAR:

Street parking can be difficult, but there is ample, affordable parking nearby under the Target/Best Buy complex on 14th Street.

From points South:
Take 95 to 395 North over the 14th Street Bridge.
Take 14th Street, and turn left onto R street.
Turn right onto 16th Street.
Turn right onto Harvard Street. The church is on the right.

From Route 66 or Route 50:
Take Rte 50/66 to the Roosevelt Bridge.
Exit onto E Street.
Turn left on 18th Street and stay in the right lane.
Turn right onto Columbia Road.
Cross 16th Street. The church is on the right at Harvard and 16th.

From 495 and points North:
Take 495 to the Georgia Avenue exit.
Stay in the far right lane, and veer onto 16th Street.
Turn right onto Harvard Street.
Make an immediate U-turn on the left to Columbia Road.
Cross 16th Street, and the church is on the right.","Please join us on Sunday mornings for a joyful, uplifting, and thought-provoking worship service. Here’s a little of what you can expect:

Our services begin at 9:30 and 11:15 am (summer service: at 10:15 am only), but we suggest you arrive early to fill out a guest card and get a name tag at the welcome table just inside the main entrance on 16th Street. There you can also ask questions about Unitarian Universalism, membership in our church, or anything else.

You can also ask an usher to help you with any special needs. We have large-print hymnals, and there is a sign language interpreter at the 11:15 service.

The service begins with a time for meditation, accompanied by an organ prelude. All are welcome to come to the front of the church to light a candle of joy, sorrow, or memory.

The service begins in earnest with a rousing processional hymn lead by the choir and a call to worship from the minister.",-77.0354925,All Souls,NW,DC,38.9263064,"Anyone and Everyone, Unitarian"
,3760 Minnesota Ave,,Senior services,20019,Washington,,,Food/ Grocery Services,, (202) 396-7351 ,Metro: Minnesota Ave (Orange Line),"Mon-Fri, 10am-2pm",-76.952076,Allen House Upper Room Baptist Church,NE,DC,38.891704,"Seniors, Ward 5"
,1412 Minnesota Ave,,,20020,Washington,,http://www.theambassadorbaptistchurch.org,Food/ Grocery Services,,,"Bus: B2, P6","Sat, 7:30am-9:30am, 4th Thurs, 10am-12pm",-76.9840937,Ambassador Baptist Church Food Pantry,SE,DC,38.8669818,
,1025 Connecticut Ave.,,,20036,Washington,,http://www.diabetes.org,Health Services,,(202) 331-8303,,,-77.0394822,American Diabetes Association,NW,DC,38.9032629,
,4801 Massachusetts  Ave,,,20016,Washington,,http://www.wcl.american.edu,Legal Services,,(202) 274-4140,Metro: Tenleytown-AU (Red Line),"Mon-Fri, 9am-9pm",-77.0949697,American University Domestic Violence Clinic,NW,DC,38.9451327,Appointment Needed
,4801 Massachusetts  Ave.,,,20016,Washington,,http://www.wcl.american.edu,Legal Services,,(202) 274-4140,Metro: Tenleytown-AU (Red Line),"Mon-Fri, 9am-9pm",-77.0949697,American University Washington College of Law Clinic Program,NW,DC,38.9451327,
,2443 Ainger Place,,,20020,Washington,,,Food/ Grocery Services,,(202) 889-5607,"Bus: 92, 32, W2, W3, V5","Mon-Fri, 10am-11:30am",-76.970623,Anacostia Community Outreach Center,SE,DC,38.855654,"Referral Required, DC Resident, Ward 6, 7, 8"
,1800 Good Hope Rd.,,,20020,Washington,,,Library,,,,,-76.9789897,Anacostia Library,SE,DC,38.8656793,
,1328 W Street,,,20020,Washington,,http://www.unityhealthcare.org,Health Services,,(202) 610-7160,Metro: Anacostia (Green Line),"Mon, Wed, 7:45am-8pm Tues, Thurs, Fri 7:45am-4:45pm Sat, 8am-2pm",-76.9867805,Anacostia Neighborhood Clinic (Unity Health Care),SE,DC,38.8643727,
,"2041 Martin Luther King, Jr. Ave",,Women's Health/Family Services,20020,Washington,,,Health Services,,,,,-76.989791,Anacostia Satellite(WIC ENROLLMENT SITES/AGENCIES ),SE,DC,38.865909,
,1400 Decatur Street,Monday - Friday; Saturdays by appointment,HIV/ AIDS,20011,Washington,Spanish,http://www.andromedatransculturalhealth.org/default.aspx,"Empowerment, Counseling resources",,(202) 291-4707,"52 Bus
54 Bus
S2 Bus",9:00 am - 5:00 pm,-77.0329359,Andromeda Trancultural Health,NW,DC,38.9481266,"Latino Women's Group: Women Only, Cost-free services are only provided for DC residents."
,1105 50th Street,,,20019,Washington,,http://www.antiochabc.org,Food/ Grocery Services,,(202) 399-8118,Bus: U4,"Mon-Fri, 11am-3pm",-76.928271,Antioch Baptist Church of Deanwood,NE,DC,38.905042,"Referral Required, DC Resident"
,Communication and events facilitated Online- Event locations vary ,,"Men Only, Specific community, ethic, or racial group, gay, bisexual, transgender, and questioning members of the Asian and Pacific Islander community",DC,Washington,,http://www.aquadc.org/,Community Group,,,Most events are metro accessible- locations of events vary and are announced.,,-77.0363658,AQUA -Asian/Pacific Islander Queers United for Action,NW,DC,38.8951118,"Provides services for gay, bisexual, transgender, and questioning members of the Asian and Pacific Islander community, Become a member online at http://ga1.org/Aquadc/join.tcl "
,1905 E St.,,,20003,Washington,,,Health Services,,(202) 698-4040,Metro: Stadium-Armory (Blue/Orange Line),"Mon-Wed, Fri, 8am-11:30am, 1:30pm-3pm",-76.977201,Area C Chest Clinic,SE,DC,38.882812,Homeless
,3833 North Fairfax Drive,,,22203,Arlington,,,Health Services,,,,,-77.1217107,Arlington Free Clinic (Ballston Medical Center),,VA,38.8812654,
,2401 Virginia Ave,,,20037,Washington,,http://www.miriamskitchen.org,Shelters/ Transitional Housing,,(202) 452-8926,Metro: Foggy Bottom-GWU (Blue/Orange Line),,-77.051947,Arnold's Place Transitional Housing Program,NW,DC,38.898614,
, 411 New York Ave,Monday to Friday,Disability Services,20002,"Washington, DC",,http://art-enables.org,Empowerment,"must have an artistic drive and interest, Disabled, 18 years and older",,New York Ave-Florida Ave-Gallaudet University: Red Line,9 am to 4 pm,-76.99767,Art Enables,20002,DC,38.910754,There is a per diem fee for participation in Art Enables. That fee can be covered privately although it is most often covered by state or regional service providers. The responsible party is billed monthly for days attended the previous month.
,900 5th St.,,Housing,20003,Washington,,,Senior Services,,(202) 675-9088,Metro: Navy Yard (Green Line),"Mon-Fri, 9am-5pm. Lunch: 10am-2pm",-76.9994953,Arthur Capper Senior Center,SE,DC,38.8788771,Seniors
,1616 Marion St.,,,20001,Washington,,,Senior Services,,(202) 745-7434,Metro: Shaw-Howard University (Green/Yellow Line),"Mon-Fri, 10am-2pm",-77.02081,Asbury Dwelling,NW,DC,38.9117239,Seniors
,926 11th St.,,Meal Programs,20001,Washington,,http://www.asburyumcdc.org,Food/ Grocery Services,,(202) 628-0009,Metro: Metro Center (Red Line),"4th Sunday, 9am, Sun, 10:30am, Sat, 10am",-77.0270574,Asbury United Methodist Church,NW,DC,38.9019675,"Referral Required, Homeless, Low-Income"
,1400 Decatur St.,,Referrals,20011,Washington,,http://www.dvrp.org,Women's Health/ Family Services,,(202) 464-4477,Metro: Georgia Ave-Petworth (Green/Yellow Line),"Mon-Fri, 10am-6pm",-77.0329359,Asian/Pacific Islander Domestic Violence Resource Project,NW,DC,38.9481266,Asian/Pacific Islander
,1707 Kalorama Road,,,20009,Washington,,http://www.ayudainc.org,Comprehensive Service Provider,,(202) 387-4848,"Bus: S9, H2, H4","Mon-Fri, 9am-5pm",-77.039618,Ayuda,NW,DC,38.921286,"Latino, Foreign Born, Low Income"
,3401 4th Street,,,20032,Washington,,http://balloustay.org,Job Training/ Adult Education Services,,(202) 767-7225,Metro: Congress Heights (Green Line),"Mon-Fri, 8:30am-9pm",-76.999977,Ballou STAY,SE,DC,38.839791,
,5656A 3rd St.,,,20011,Washington,,http://www.barneyneighborhoodhouse.org,Senior Services,,(202) 939-9020,Metro: Fort Totten (Red/Green/Yellow Line),"Mon-Fri, 8:30am-4:30pm",-77.0161864,Barney Neighborhood House,NE,DC,38.9585363,"Seniors, Ward 1, Ward 4"
,2850 Quebec St.,,,20008,Washington,,http://www.adasisrael.org,Senior Services,,(202) 363-7530,Metro: Cleveland Park (Red Line),"Mon-Fri, 10am-2pm",-77.057955,Behrend-Adas Israel Senior Fellowship,NW,DC,38.937197,Seniors
,4101 Benning Rd.,,,20019,Washington,,,Library,,,,,-76.944262,Benning Library,NE,DC,38.892626,
,924 Madison St.,,Clothing,20011,Washington,,,Food/ Grocery Services,,(202) 829-8454,"Bus: 70, 71, 79","Fri, 9am-11am",-77.027233,Berean Baptist Church,NW,DC,38.958059,Call First
,1529 16th Street,Bet Mischpachah is a division of the DC JCC. The DCJCC's \ Hours of Operation: Monday-Thursday 6:00 am to 10:00 pm Fitness Center 6:00 am - 10:00 pm Administrative Offices open 9:00 am - 5:00 pm Programming through 11:00 pm Friday 6:00 am to 6:00 pm Fitness Center 6:00 am - 6:00 pm Administrative offices close at 4:00 pm Congregational shabbat services 6:00 pm - 10:00 pm Saturday-Sunday 8:00 am to 11:00 pm Fitness Center 8:00 am - 8:00 pm Administrative Offices closed. Saturday Programming 8:00 pm - 11:00 pm Sunday Programming 8:00 am - 11:00 pm,LGBT,20036,Washington,,http://www.betmish.org/ Updated daily,LGBT Services,Provides services to LGBT people of Jewish faith or anyone interested. ,202) 246-6643,"METRO
Take the Red Line to Dupont Circle. Exit at Q Street (North entrance). Walk east on Q Street, crossing over Connecticut Avenue. The Center is located four blocks away on Q Street at the Southeast Corner of 16th Street and Q Street.

The Washington DCJCC is also accessible via the S1, S2, or S4 Metrobus.

PARKING
We're even more accessible now with very convenient parking!

COLONIAL PARKING 
Lot at 1616 P Street
(between 16th and 17th Streets just 2 blocks south of the Center).

Washington DCJCC parking is available at 1616 P Street at Colonial Parking. Just bring your Colonial Parking ticket to the Washington DCJCC Front Desk for validation.  Validation stickers are $4 and $3 for J Members

   Evening Parking:
        Monday thru Thursday until 11:00pm
        Friday and Saturday until 12:00am

   All Day Parking Sundays from 8:00 am-12:00am

The Q Street Washington DCJCC Parking Lot 
Located on Q Street NW, adjacent to the Center
Spaces are open to all visitors and participants

PLEASE NOTE: Except during Free Parking hours, all Q Street lot users must have their parking ticket validated by the Front Desk Receptionist before exiting the parking lot.

    * Free Daytime Parking:
      6:00am - 6:00pm (Fridays to 10:30 pm)
      Preschool parents have priority 7:30–9:30 am and 5:00–6:00 pm for drop-off and pick-up in marked spaces. There are limited reserved spaces available for senior and those with disabilities.
    * Free Daytime Weekend Parking:
      Saturday until 6:30 pm and Sunday until 2:30 pm
    *
      Evening Attendant Supervised Parking: Parking Fees Apply During These Hours Regardless Of Entry Time
      Mon–Thur: 6:00–10:30 pm
      Sat: 6:30–11:00 pm
      Sun: 2:30–10:30 pm",Services are held Fridays at 8:30pm and the second and fourth Saturday of the month at 10:00 am. Program times vary.,-77.036111,Bet Mishpachah,NW,DC,38.911005,"Contact
PO Box 1410, Washington, DC 20013
General Inquiries: office@betmish.org"
,1333 N Street,,Meal Programs,20005,Washington,,http://www.nstreetvillage.org,Comprehensive Service Provider,,(202) 939-2060,"Metro: McPherson Square (Blue/Orange Line) Bus: 52, 53, 54","Mon-Fri, 7:30am-4pm. Sat, Sun, 9am-4pm",-77.0311857,Bethany Women's Center,NW,DC,38.9072578,Women
,1808 Capitol Avenue,,Meal Delivery,20002,Washington,,,Senior Services,,(202) 483-5800,"Bus: B2, D4, D8","Mon-Fri, 10am-2pm",-76.9858553,Bethesda Baptist Church,NE,DC,38.9110519,Seniors
,5820 Dix St.,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.917085,Beulah Baptist (SHARE site),NE,DC,38.89518,
,1810 14TH STREET ,,"Women Only, Specific community, ethic, or racial group, Black Lesbian and Bisexual Women",20009,Washington,,http://www.blsg.org/index.html  ,Referrals,"Only provides services to Black Lesbian and Bisexual Women
",,"Metro: U Street/African-American Civil War Memorial (Green Line)
Bus: 52","1ST, 2ND, AND 4TH SATURDAY OF EVERY MONTH 3PM - 5PM",-77.032361,Black Lesbian Support Group,NW,DC,38.914527,"HOW TO BECOME A MEMBER
1. IDENTIFY  AS A BLACK LESBIAN OR BISEXUAL WOMEN
2. ATTEND ONE MEETING
3. FOLLOW THE RULES DURING THE DISCUSSION

 RULES FOR DISCUSSION

    * CONFIDENTIALITY IS A MUST-WHATEVER IS SAID IN THE ROOM, STAYS IN THE ROOM.
    * SPEAK IN ""I"" STATEMENTS-BE RESPECTFUL OF EVERYONE'S OPINIONS AND EXPERICNECES.
    * CAN NOT BE UNDER THE INFLUENCE OF ALCOHOL OR  DRUGS (UNCONTROLLED SUBSTANCES) YOU WILL BE ASKED TO LEAVE.
    * HELP TO CREATE A SAFE SPACE FOR EVERYONE, INCLUDING SELF.
    * RAISE YOUR HAND BEFORE SPEAKING.
    * MUTE OR TURN OFF CELLULAR PHONES."
,Blair Rd. and Oglethorpe St.,,,20011,Washington,,,Community Garden,,,,,-77.0096519,Blair Road Garden,NW,DC,38.9609827,
,102 Irving Street, BlazeSports America's programs include year round community-based sports programs; sports clinics; workshops; competitions and summer camp.,Disability Services,20010,"Washington, DC",,"http://www.nrhrehab.org/Information+and+Resources/Sports+and+Recreation/default.aspx
",Medical Provider/ Health Clinic,both inpatients and outpatients of National Rehabilitation Hospital,202 877 1420,"The H2, H4, D6 and D8 buses come to the Washington Hospital Center.  The H buses connect with Metrorail at Brookland (Red Line), Cleveland Park (Red Line) and Columbia Heights (Green Line).  “D” buses connect with Metrorail (Red Line) at Union Station and Rhode Island Avenue. 

A free shuttle bus service runs throughout the day (except on weekends) between Brookland station Metrorail stop (Red Line) and NRH every 15 minutes.  As you exit the escalator at the Brookland Station, the shuttle buses are located on the service road adjacent to the left side of the parking lot.  They are small blue and white buses labeled International Limousine Service.  These buses stop directly in front of NRH.",,-77.012465,Blaze Sports Club at the National Rehabilitation Hospital,NW,DC,38.930203,
,First St. and R St.,,,20001,Washington,,,Farmers Market,,,,,-77.0121571,Bloomingdale's Farmer's Market,NW,DC,38.9126037,
,"817 Silver Spring Ave., Suite 110 ",,Health Services,20910,Silver Spring,"English, Vietnamese, some other languages available upon request.",http://www.bpsos.org/en/our-branches/maryland,Job Training/ Adult Education Services,,(301) 439-0505,Metro: Silver Spring (Red Line),,-77.023379,"Boat People S.O.S., Inc.",,MD,38.9918285,"Vietnamese families, youth"
,"6066 Leesburg Pike, Suite 100",Monday-Friday,Vietnamese Refugees and Immigrants,22041,Falls Church,"English, Vietnamese, some other languages available upon request.","http://www.bpsos.org/en/our-branches/falls-church-virginia, 
http://bpsos.wordpress.com/","Job Training, Language Services, Public Health",Services only available to Vietnamese refugees and immigrants. ,(703) 538-2190,"Metro: West Falls Church  (Orange Line), Bus: 28A West Falls Church towards King Street",9am-5pm,-77.141629,"Boat People S.O.S., Inc.",,VA,38.858059,"Services offered (from the volunteermatch.org Boat People SOS website): 
Boat People SOS assists local community members in naturalization, immigration status adjustment, paralegal assistance, family reunion, consumer rights protection, public health, ESL for naturalization, and other human services. One of its programs has helped many local Vietnamese communities form community-based organizations and has provided training for their leadership. In cooperation with two other organizations, BPSOS has re-activated a discontinued program to provide ESL instruction to newcomers wishing to enter college and vocational schools."
,Family Services Bldg # 502,,Women's Health/Family Services,20032,Washington,,,Health Services,,,,,-77.0161436,Bolling Air Force Base (WIC ENROLLMENT SITES/AGENCIES),SE,DC,38.8372336,
,1346 Florida Ave.,,,20009,Washington,,http://www.btwschool.org,Job Training/ Adult Education Services,,(202) 232-6090,Metro: U Street (Green/Yellow Line),"Mon-Fri, 8am-4:30pm",-77.031151,Booker T. Washington Charter School for Technical Arts,NW,DC,38.9201116,
,128 M Street,,,20001,Washington,,,Teen/ Youth Programs,,,,,-77.012867,Boys and Girls Club: Butler-Wyatt Clubhouse #2,NW,DC,38.90533,
,1901 Mississippi Avenue,,,20020,Washington,,,Teen/ Youth Programs,,,,,-76.976728,Boys and Girls Club: FBR Branch @ THEARC,SE,DC,38.8437346,
,3265 S Street,,,20007,Washington,,,Teen/ Youth Programs,,,,,-77.066177,Boys and Girls Club: Frank R. Jelleff Branch,NW,DC,38.915633,
,1000 12th Street,,,20003,Washington,,,Teen/ Youth Programs,,,,,-76.98967,Boys and Girls Club: Hopkins Branch,SE,DC,38.878145,
,2500 14th Street,,,20009,Washington,,,Teen/ Youth Programs,,,,,-77.032381,Boys and Girls Club: Mary & Daniel Loughran Clubhouse #10,NW,DC,38.922146,
,801 Shepherd Street,,,20011,Washington,,,Teen/ Youth Programs,,,,,-77.023923,Boys and Girls Club: Old Petworth School Clubhouse #6,NW,DC,38.940105,
,2200 Minnesota Avenue,,,20020,Washington,,,Teen/ Youth Programs,,,,,-76.9749512,Boys and Girls Club: Orr Elementary School Branch,SE,DC,38.8713907,
,4103 Benning Road,,,20019,Washington,,,Teen/ Youth Programs,,,,,-76.9439931,Boys and Girls Club: Richard England Clubhouse #14,NE,DC,38.8933056,
,620 Milwaukee Place,,,20032,Washington,,,Teen/ Youth Programs,,,,,-76.998257,Boys and Girls Club: Robert V. Murray Clubhouse #11,SE,DC,38.848102,
,"
1525 Seventh Street

",,Health Services,20001,Washington,"English
Spanish",http://www.breadforthecity.org,Comprehensive Service Provider,Low-income residents of Washington D.C.,"(202) 265-2400
",Metro: Shaw-Howard University (Green/Yellow Line),"Mon-Thurs, 9am-5pm",-77.021451,Bread for the City Northwest Center,NW,DC,38.909979,DC Resident
,1638 Good Hope Rd.,,Clothing,20020,Washington,,http://www.breadforthecity.org,Comprehensive Service Provider,,(202) 561-8587,"Metro: Anacostia (Green Line) Bus: B2, U2, P6","Mon-Thurs, 9am-5pm",-76.9811055,Bread for the City Southeast Center,SE,DC,38.8660678,DC Resident
,1201 Brentwood Road,,,20018,Washington,,,Health Services,,,,,-76.989454,Brentwood Square Health Center (Unity Health Care),NE,DC,38.920361,
,128 M St.,,Referrals,20001,Washington,,http://www.brightbeginningsinc.org,Women's Health/ Family Services,,(202) 842-9090,Metro: New York Avenue (Red Line) Bus: P6,"Mon-Fri, 7am-11:30pm",-77.012867,Bright Beginnings,NW,DC,38.90533,"Age 6 months -Kindergarten, Low Income"
,3209 5th St.,,Empowerment,20032,Washington,,http://www.aps-ch.org,Food/ Grocery Services,,(202) 889-3660,"Bus: W4, M8, A6","Tues-Thurs, 11am-3pm",-76.9995203,Brighter Day Family Center,SE,DC,38.8425817,
,8th St. and Jefferson St.,,,20011,Washington,,,Food/ Grocery Services,,,,,-77.023979,Brightwood Park United Methodist (SHARE site),NW,DC,38.9552496,
,717 14th St.,,advocacy,20005,Washington,,,Health Services,,,,,-77.031569,Bureau of STD Control Clinic Division of Sexually Transmitted Disease Control,NW,DC,38.898919,
,3700 Whitehaven Parkway,,,20007,Washington,,,Farmers Market,,,Metro: Rosslyn (Blue/Orange Line),"Tues, 7am-8pm",-77.088718,Burleith Glover Park Farmers Market,NW,DC,38.9164247,
,815 Monroe Street,,,20017,Washington,,http://www.byteback.org,Job Training/ Adult Education Services,,(202) 529-3395,"Metro: Brookland-CUA (Red Line)Bus: 80, H1, H2, H3, H4, H6, H8, G8, R4","Mon-Thurs, 10am-5pm",-76.993909,Byte Back,NE,DC,38.932266,
,820 6th St.,,,20002,Washington,,http://www.calvarydc.net,Meal Programs,,(202) 546-8011,"Bus: X2, D8","Sat, 7:30am",-76.9985931,Calvary Episcopal Church,NE,DC,38.900838,Homeless
,928 5th St.,,Comprehensive service provider,20001,Washington,,http://www.calvaryservices.org,Shelters/ Transitional Housing,,"(202) 289-2111
",Metro: Gallery Place-Chinatown (Red/Green/Yellow Line),"Mon-Sun, 7pm",-77.0189566,Calvary Women's Services,NW,DC,38.9016692,Women
,600 W St.,,,20002,Washington,,,Food/ Grocery Services,,(202) 635-9053,Metro: Rhode Island Ave-Brentwood (Red Line),"Tues-Thurs, 10am-12pm, 1pm-4pm",-76.9980393,Calvary's Food Bank,NW,DC,38.9197782,
,1236 Pennsylvania Avenue,,"Children, Teens/ Young Adults, Women Only, female prisoners returning to the community",20003,Washington,,http://www.ourplacedc.org,"Artistic/ Creative Services, Empowerment, Counseling resources",a woman ,202-548-2400,"Blue to Potomac Ave metro station, then walk to Penn. Ave SE",Mon-Fri. 9am-5pm,-76.988913,Camille's Place (of Our Place),SE,DC,38.8821299,
,2001 15th St.,,Housing,20009,Washington,,http://www.aimco.com,Senior Services,,(202) 483-6694,Metro: U Street (Green/Yellow Line),"Mon-Fri, 9am-5pm",-77.034017,Campbell Heights Apartments,NW,DC,38.917574,Seniors
,1607 Monroe St.,,,20010,Washington,,,Food/ Grocery Services,,,,,-77.036963,Canaan Baptist Church (SHARE site),NW,DC,38.9330659,
,645 Taylor St.,,Referrals,20017,Washington,,http://www.capitalareafoodbank.org,Food/ Grocery Services,,(202) 526-5344,Metro: Brookland-CUA (Red Line),"Mon-Fri, 9am-5pm",-76.996669,Capital Area Food Bank,NE,DC,38.940244,
